m/z,A_APCKRAS_intensities,B_APC_intensities,G_APC_intensities,C_APC_intensities,D_APCKRAS_intensities,E_APCKRAS_intensities
89.024,1114473.077,1422113.43,763661.4982,1274805.297,1799880.756,777091.4505
94.98,359096.1536,310526.8168,264347.551,635306.6766,472807.8928,423950.2975
115.076,196549.2154,176689.0172,146068.732,281260.0305,269188.7918,1260527.03
121.028,160087.7965,177664.2277,100117.4416,203496.033,226807.474,869502.0091
124.006,2727244.03,2213522.161,1213152.471,1797737.886,3126978.053,1353126.77
129.092,146324.2477,148309.4357,113323.3619,216256.1601,216328.5484,1101560.388
135.044,136589.2511,80755.92065,90810.02337,115597.2249,102623.043,274772.4231
137.024,228134.295,114327.1159,113163.4684,220507.7803,140506.4418,312458.9145
145.06,459380.0998,790137.4311,746841.9546,1271339.636,591835.9413,326136.6031
153.018,43347.15152,34479.91698,28523.38971,51046.69663,48634.03967,51550.23615
157.086,115579.3458,138008.9586,82455.27931,193439.4484,167014.9419,343060.066
157.122,447726.1898,469170.3911,346167.7,631065.4413,654764.93,1908386.903
161.062,290612.2903,436765.2932,153286.2113,436765.2932,796997.5853,20
165.04,235782.0383,224881.5022,177939.0808,381901.1102,320682.6421,1615517.737
168.988,76027.54304,87006.10651,52011.59873,95705.6288,90261.04693,346440.6304
171.102,270848.5415,466020.0999,183624.9341,445967.2262,457162.9456,852185.0351
171.138,423622.117,390116.9853,307687.9109,538515.3245,543187.0948,2100283.534
175.024,2706475.601,2786082.1,2447718.832,4763542.9,3641411.227,701100.8315
187.042,383980.7186,1160454.317,152674.4276,1160454.317,684285.4017,3895149.596
187.096,152702.0637,263268.0533,96438.88904,227499.4322,260950.0942,523844.2811
197.118,98831.94924,147015.0128,68111.18248,147363.3356,154398.2166,310103.5858
201.112,213790.8534,292699.7833,136792.0334,346293.4982,441916.1993,1322068.608
233.154,491526.2714,453813.4588,330368.3539,560320.5642,584403.4134,3557793.545
239.058,155382.2248,166628.4672,117455.4845,245568.168,218127.0384,1452844.779
241.216,307996.4008,516706.2944,263600.8476,534655.523,476342.1604,788235.2402
250.144,118185.6764,133529.703,75697.12145,112149.1061,160605.4222,929108.8207
253.216,1829029.806,5053645.323,1133296.744,2293629.551,2206200.607,6630155.416
255.232,4861878.51,11378184.6,3358256.953,20,20,24752933.48
257.238,91007.85756,213020.9517,64349.84192,141608.7446,134134.9189,469248.768
265.146,142175.8869,132485.7416,96280.40227,191202.5172,176313.4947,344097.378
279.232,3568327.171,8437845.353,1669024.741,3399259.2,4164287.88,20599909.74
280.234,679483.1837,1645963.805,319792.2092,662657.682,816869.4079,4080157.973
282.25,1266846.934,3177661.768,907058.1857,2100527.852,1995783.845,6673013.8
295.226,148515.6083,633599.248,89711.85158,145711.5957,300671.7307,1069872.832
297.152,221541.1191,237793.1339,351842.708,296877.529,282257.0921,367254.0444
297.242,180045.7824,955036.2146,153401.205,955036.2146,665080.2996,835579.3732
298.244,20,199176.2489,138716.1155,20,20,20
303.232,5936693.951,12361299.61,4359601.551,8511569.39,12601684.18,68814027.51
319.226,382315.8847,952022.1685,489557.3312,984914.7924,953951.3222,5592622.528
320.23,89191.83874,211611.5592,112892.2326,218368.9991,212988.1411,1254850.58
332.266,198975.8181,275008.1605,172314.0634,418667.9437,403494.7612,1691382.085
333.278,91900.60938,194465.2712,140752.7672,383708.5953,181635.0876,755758.4679
337.31,81258.11194,161060.3881,84990.50219,209635.6452,164260.7153,635275.2387
339.326,68003.02157,120912.9106,67959.11948,152006.0185,128104.1332,437786.2566
351.216,61135.23219,122313.8357,48275.84873,99369.7224,124117.7005,950018.8229
363.208,128924.7046,115531.2036,56927.89138,109926.3963,190843.3616,672447.9411
363.228,382447.038,349862.0331,227512.5532,395258.936,370522.1512,630658.6093
366.248,132986.1224,97557.11399,98338.7465,175347.9075,158240.6713,394523.5058
391.26,1666164.89,1268889.309,1138247.343,1993340.059,1846247.029,3656812.455
441.276,278815.5805,114400.4021,116974.0436,209896.5382,233427.143,374595.6925
465.304,182452.722,354321.7351,206313.6299,401928.2232,322312.1617,943439.1011
537.488,303962.4167,1088260.173,118203.73,1088260.173,333653.6157,2706650.41
538.492,108493.7983,381639.5985,42068.15979,381639.5985,118225.449,1027390.375
559.47,150623.2231,495026.8353,61301.64462,142797.0952,183988.2781,2244559.658
563.504,300893.8462,958964.2207,116896.2517,310376.3398,315917.4626,2908130.412
564.506,118537.7629,394252.2631,48141.62151,129026.635,128242.7087,1126340.478
565.518,119252.3688,387568.6735,75538.5158,195786.4246,190512.6875,1749170.864
585.488,180928.7656,599845.2136,123741.2915,296281.1659,337836.8637,4144504.845
586.49,90471.95168,257229.4434,70226.57978,155815.2022,170799.7385,1728624.86
587.502,116853.4913,355006.2777,94610.01015,210327.7653,237077.9314,2564664.623
636.524,77797.2165,227761.3217,55798.32989,122711.9131,106015.1936,573151.6775
637.538,158607.7372,447074.3217,153938.1272,345457.2511,248060.81,974905.8502
661.538,116467.8374,291154.3328,125117.0984,241940.046,210913.4505,850109.9069
684.526,73611.85851,142967.9385,58822.23708,106362.428,116155.281,502713.3332
716.522,119365.4692,224630.1303,122159.1096,238737.8019,150348.5502,600818.361
722.51,323477.8576,554136.7844,308144.0556,489247.7805,415215.2992,1095617.685
736.642,113548.3793,85299.26923,64933.54027,128695.2713,187759.6829,369792.8682
743.54,91668.33268,131185.0406,61426.68689,119308.5467,113864.4747,459617.8496
748.52,368671.6241,721737.3337,397575.0203,683354.3334,570030.4831,2011083.28
750.538,255198.7656,364071.9492,206242.0887,344826.5253,328402.4678,946359.7065
764.52,147418.3258,232421.3592,110104.5543,180801.6139,163523.3877,514967.2012
772.526,119987.7604,164763.5086,91981.97364,158963.24,169936.2203,539531.1629
857.512,20,247541.2094,130982.9201,247541.2094,166755.1949,20
858.518,90849.81777,153395.8747,82206.12065,166416.09,104650.8052,523039.2227
861.546,166936.2922,336096.6899,178429.846,388924.632,245287.6155,1797330.21
864.566,87737.50969,181334.3921,99033.9908,218592.4596,136881.3301,835350.6416
883.532,112953.7057,196301.2207,115715.9157,231786.8716,140950.2587,804275.2808
884.532,67257.79366,120680.6533,66184.48502,144243.473,87996.89625,463795.7846
885.544,1013271.01,1591964.234,862728.311,1591964.234,1290634.098,20
889.572,72048.71746,155161.928,65763.0669,147620.1159,108110.4351,529412.9745
